Company1,Company2,Value
12,19,-0.240506302872006
12,20,-0.22712946098960235
12,21,0.5453795018762336
12,22,-0.09939712765714019
12,23,0.6233391938601022
12,24,0.22930112441917624
12,25,0.38940844668720054
12,26,-0.11464793272835529
12,27,-0.05026271647178653
12,28,-0.1578639554390509
12,29,-0.24456600714583734
12,30,0.10952454592523964
12,31,-0.27017319894656405
12,32,0.20001528982349825
12,33,0.6092100091393399
12,34,-0.4820407456594727
12,35,0.11939309072369274
12,36,0.12386313026978082
12,37,0.04265906388061455
12,38,-0.18978316897357808
13,1,0.1242554211860064
13,2,-0.21827666454579975
13,3,0.2831970031871252
13,4,-0.3584985060784702
13,5,0.013654922560966128
13,6,0.3528672061802416
13,7,0
13,8,0.37320740567871025
13,9,0.6710823821746529
13,10,0.08542602582463958
13,11,-0.23218148046123085
13,12,-0.17491651497715405
13,13,1.0
13,14,-0.052990977996447974
13,15,0.47304335945545456
13,16,0.5633817749677091
13,17,0.8873489122849038
13,18,-0.2205837752344857
13,19,0.32962986882574474
13,20,0.8844552608472367
13,21,-0.28147895964673575
13,22,0.5747298014015112
13,23,0.2050075361594195
13,24,0.32705947208770964
13,25,-0.31663715637587786
13,26,0.11592095223640761
13,27,0.07566413955258418
13,28,0.1695433354040454
13,29,0.49072614535059866
13,30,-0.3349671568886498
13,31,0.5427521968088673
13,32,-0.23421676790114293
13,33,-0.20306660487697767
13,34,-0.39610362671053395
13,35,-0.5529557023595685
13,36,0.7924102004388794
13,37,0.08936102900839031
13,38,0.8223630432826606
14,1,0.48420334634656015
14,2,-0.6712678525089043
14,3,0.38616507504221353
14,4,-0.32964079600232743
14,5,-0.15731988390964433
14,6,0.21705733354551596
14,7,0
14,8,0.23234517055612885
14,9,-0.09562851472231572
14,10,-0.05248143227390423
14,11,0.6633518881001729
14,12,0.705780186184137
14,13,-0.052990977996447974
14,14,1.0
14,15,-0.03453063508458173
14,16,0.1285360453346032
14,17,-0.08895653432340435
14,18,-0.3039032860753545
14,19,-0.0994616862542201
14,20,-0.08533892127378849
14,21,0.2890798379734865
14,22,-0.06271075434151774
14,23,0.8599189103535458
14,24,0.48213852321505785
14,25,0.39390002120996387
14,26,-0.07409166354325755
14,27,-0.04405755080359983
14,28,-0.08819256180464069
14,29,-0.4913330871973561
14,30,-0.3896982242288314
14,31,-0.10084666045660488
14,32,-0.24344550625899458
14,33,0.5535755222359111
14,34,-0.6246852454854307
14,35,-0.13924494016645658
14,36,0.19235714686693337
14,37,0.12886249650551854
14,38,-0.08418948313982942
15,1,0.20325334528177302
15,2,-0.4502359757861062
15,3,0.4747994717150132
15,4,-0.3884539735014124
15,5,0.28770474446620675
15,6,0.4496884412603926
15,7,0
15,8,0.5259829518884304
15,9,0.271048660499101
15,10,0.05372909462832647
15,11,-0.09407349432068156
15,12,-0.006247375746557872
15,13,0.4730433594554545
15,14,-0.03453063508458173
15,15,1.0
15,16,0.6588896831725142
15,17,0.4464046367276716
15,18,-0.6628553857765868
15,19,0.17793565766178782
15,20,0.41566520816265706
15,21,-0.5403395228382443
15,22,0.7333723242984386
15,23,0.0995345086080504
15,24,0.49205845100057943
15,25,-0.06991211577110452
15,26,0.0923943350139704
15,27,0.04382483492242121
15,28,0.12212925463469322
15,29,0.1969458244252296
15,30,-0.3086527599253476
15,31,0.23721670780811355
15,32,-0.44266593770183826
15,33,-0.21859943243721025
15,34,-0.5446578872356814
15,35,-0.4582788223298496
15,36,0.7550275892542334
15,37,0.5267844127635568
